Time	EMG	Muscle Force
21.106	-0.0691634	0.275858
21.107	-0.164478	0.275858
21.108	-0.0339306	0.275858
21.109	0.109149	0.275858
21.11	0.14254	0.275858
21.111	0.0493395	0.275858
21.112	-0.152243	0.275858
21.113	-0.226293	0.275858
21.114	-0.016738	0.275858
21.115	0.128595	0.275858
21.116	0.185801	0.275858
21.117	0.136601	0.275858
21.118	-0.0341131	0.275858
21.119	-0.162541	0.275858
21.12	-0.176776	0.275858
21.121	-0.0179044	0.275858
21.122	0.103955	0.275858
21.123	0.0294008	0.275858
21.124	-0.0265788	0.275858
21.125	0.0767519	0.275858
21.126	0.103096	0.275858
21.127	0.0334872	0.275858
21.128	-0.0397796	0.275858
21.129	-0.138514	0.275858
21.13	-0.192146	0.275858
21.131	0.00331983	0.275858
21.132	0.175977	0.275858
21.133	0.155318	0.275858
21.134	0.02606	0.275858
21.135	-0.15787	0.275858
21.136	-0.118713	0.275483
21.137	0.0852591	0.275858
21.138	0.199261	0.275858
21.139	0.035286	0.275858
21.14	-0.202572	0.275858
21.141	-0.269516	0.275858
21.142	0.0520489	0.275483
21.143	0.279967	0.275483
21.144	0.14986	0.275858
21.145	-0.0483844	0.275858
21.146	-0.160328	0.275858
21.147	-0.140532	0.275858
21.148	0.0586906	0.275858
21.149	0.152619	0.275858
21.15	0.073104	0.275858
21.151	-0.126396	0.275858
21.152	-0.182049	0.275858
21.153	0.0503107	0.275858
21.154	0.160124	0.275858
21.155	0.123685	0.275858
21.156	-0.106516	0.275858
21.157	-0.0862076	0.275858
21.158	0.0180441	0.275858
21.159	-0.0157898	0.275858
21.16	-0.0429559	0.275858
21.161	0.0599326	0.275858
21.162	0.0787387	0.275858
21.163	-0.128322	0.275858
21.164	-0.0455064	0.275858
21.165	0.190538	0.275858
21.166	0.0766768	0.275858
21.167	-0.0990577	0.275858
21.168	-0.141729	0.275858
21.169	-0.0664315	0.275858
21.17	0.0436298	0.275858
21.171	0.111992	0.275858
21.172	0.114936	0.275858
21.173	-0.0734828	0.275858
21.174	-0.0696747	0.275858
21.175	-0.00444391	0.275858
21.176	0.0319491	0.275858
21.177	0.0465976	0.275858
21.178	-0.00825327	0.275858
21.179	-0.101093	0.275858
21.18	-0.140331	0.275858
21.181	0.0912122	0.275858
21.182	0.185842	0.275858
21.183	0.0860595	0.275858
21.184	-0.0745726	0.275858
21.185	-0.14889	0.275858
21.186	-0.0692311	0.275858
21.187	0.0689018	0.275858
21.188	0.149213	0.275858
21.189	0.00245595	0.275858
21.19	-0.147808	0.275858
21.191	-0.109672	0.275858
21.192	0.0876949	0.275858
21.193	0.153031	0.275858
21.194	0.0634158	0.275858
21.195	-0.0806579	0.275858
21.196	-0.156751	0.275858
21.197	-0.0695217	0.275858
21.198	0.119937	0.275858
21.199	0.164785	0.275858
21.2	0.0511794	0.275858
21.201	-0.140357	0.275858
21.202	-0.176521	0.275858
21.203	-0.0551799	0.275858
21.204	0.1044	0.275858
21.205	0.218515	0.275858
21.206	0.0333117	0.275858
21.207	-0.0877386	0.275858
21.208	-0.0819181	0.275858
21.209	-0.0661406	0.275858
21.21	0.0047662	0.275858
21.211	0.0746164	0.275858
21.212	0.0359209	0.275858
21.213	-0.0670004	0.275858
21.214	0.0296697	0.275858
21.215	0.0170328	0.275858
21.216	-0.0269786	0.275858
21.217	0.0131625	0.275858
21.218	-0.0674338	0.275858
21.219	0.0337308	0.275858
21.22	0.1152	0.275858
21.221	0.0477942	0.275858
21.222	-0.0519522	0.275858
21.223	-0.175168	0.275858
21.224	-0.118135	0.275858
21.225	0.0995881	0.275858
21.226	0.164387	0.275858
21.227	0.106524	0.275858
21.228	0.0365866	0.275858
21.229	-0.15063	0.275858
21.23	-0.244939	0.275858
21.231	0.00185166	0.275858
21.232	0.178651	0.275858
21.233	0.172265	0.275858
21.234	-0.0163279	0.275858
21.235	-0.143055	0.275858
21.236	-0.0766977	0.275858
21.237	0.0381696	0.275858
21.238	0.115205	0.275858
21.239	-0.000941046	0.275858
21.24	-0.119739	0.275858
21.241	-0.0794575	0.275858
21.242	0.071413	0.275858
21.243	0.124904	0.275858
21.244	0.107722	0.275858
21.245	-0.0526852	0.275858
21.246	-0.231683	0.275858
21.247	-0.151163	0.275858
21.248	0.191532	0.275858
21.249	0.268439	0.275858
21.25	0.0408605	0.275858
21.251	-0.20727	0.275858
21.252	-0.202684	0.275858
21.253	-0.0318954	0.275858
21.254	0.0788311	0.275858
21.255	0.235007	0.275858
21.256	0.0656974	0.275858
21.257	-0.0750975	0.275858
21.258	-0.109304	0.27623
21.259	-0.0847482	0.27623
21.26	0.03529	0.275858
21.261	0.0982412	0.27623
21.262	-0.0114571	0.27623
21.263	-0.146565	0.275858
21.264	-0.00578408	0.275858
21.265	0.15504	0.275858
21.266	0.130927	0.275858
21.267	-0.000274727	0.27623
21.268	-0.164437	0.275858
21.269	-0.190164	0.27623
21.27	-0.00612209	0.27623
21.271	0.212818	0.27623
21.272	0.159865	0.275858
21.273	-0.0670551	0.275858
21.274	-0.119806	0.275858
21.275	-0.0751405	0.27623
21.276	-0.0318996	0.275858
21.277	0.144453	0.275858
21.278	0.129748	0.275858
21.279	-0.14963	0.275858
21.28	-0.183599	0.275858
21.281	0.138241	0.275858
21.282	0.174669	0.275858
21.283	-0.0602374	0.275858
21.284	-0.0969263	0.27623
21.285	-0.0849194	0.27623
21.286	-0.0152758	0.27623
21.287	0.0715358	0.275858
21.288	0.193383	0.275858
21.289	0.085594	0.27623
21.29	-0.132585	0.27623
21.291	-0.221845	0.27623
21.292	-0.0616941	0.27623
21.293	0.0671799	0.27623
21.294	0.131211	0.27623
21.295	0.0887393	0.27623
21.296	-0.0636125	0.27623
21.297	-0.0385942	0.275858
21.298	0.0707218	0.27623
21.299	0.0078569	0.27623
21.3	-0.0199959	0.27623
21.301	-0.107788	0.27623
21.302	-0.166293	0.27623
21.303	0.060778	0.27623
21.304	0.251023	0.27623
21.305	0.166799	0.27623
21.306	-0.144811	0.27623
21.307	-0.19408	0.27623
21.308	-0.0841409	0.27623
21.309	0.0818358	0.27623
21.31	0.128608	0.27623
21.311	0.0774745	0.27623
21.312	-0.0171318	0.27623
21.313	-0.165547	0.27623
21.314	-0.0581719	0.27623
21.315	0.092151	0.27623
21.316	0.09496	0.27623
21.317	-0.0380635	0.27623
21.318	-0.0683373	0.27623
21.319	-0.0109931	0.27623
21.32	0.00387213	0.27623
21.321	0.0934499	0.27623
21.322	0.0771417	0.275858
21.323	-0.0507844	0.275858
21.324	-0.13095	0.27623
21.325	-0.0621776	0.27623
21.326	0.0382565	0.275858
21.327	0.0975498	0.275858
21.328	0.07696	0.275858
21.329	-0.0411235	0.275858
